number,class,clearance_level,description,image_url,,,,,,,
1,,6,"SCP-001 consists of several proposals as to what 001 truly is. According to GENERAL NOTICE 001-Alpha, various files were fabricated to prevent leaks of the true proposals. Its entry in SCiPnet is protected by the Berryman-Langford memetic kill agent, which results in immediate cardiac arrest upon viewing it without proper inoculation.",https://static.wikia.nocookie.net/scp-db/images/c/c3/Berryman-Langford.jpg/revision/latest?cb=20220831153519,,,,,,,https://static.wikia.nocookie.net/scp-db/images/c/c3/Berryman-Langford.jpg/revision/latest?cb=20220831153519
2,Euclid,2," SCP-002 resembles a tumorous, fleshy growth with a volume of roughly 60 m³ (or 2000 ft³). An iron valve hatch on one side leads to its interior, which appears to be a standard low-rent apartment of modest size. One wall of the room possesses a single window, though no such opening is visible from the exterior. The room contains furniture which, upon close examination, appears to be sculpted bone, woven hair, and various other biological substances produced by the human body. All matter tested thus far show independent or fragmented DNA sequences for each object in the room.",https://scp-wiki.wdfiles.com/local--files/scp-002/800px-SCP002-new.jpg,,,,,,,
3,Euclid,2," SCP-003 consists of two related components of separate origin, referred to as SCP-003-1 and SCP-003-2.",https://scp-wiki.wdfiles.com/local--files/scp-003/SCP-003a-new.jpg,,,,,,,
4,Euclid,2, SCP-004 consists of an old wooden barn door (SCP-004-1) and a set of twelve rusted steel keys (SCP-004-2 through SCP-004-13). The door itself is the entrance to an abandoned factory in [DATA EXPUNGED].,https://scp-wiki.wdfiles.com/local--files/scp-004/SCP004_door-new.jpg,,,,,,,
5,Safe,1," In appearance, SCP-005 resembles an ornate key, displaying the characteristics of a typical mass produced key used in the 1920s. The key was discovered when a civilian used it to infiltrate a high security facility. SCP-005 seems to have the unique ability to open any and all forms of lock (See Appendix A), be they mechanical or digital, with relative ease. The origin of this ability has yet to be determined.",https://scp-wiki.wdfiles.com/local--files/scp-005/SCP-005.jpg,,,,,,,
6,Safe,1," SCP-006 is a very small spring located 60 km west of Astrakhan. Foundation Command was aware of its existence since the 19th century, but were unable to secure it until 1991 due to political reasons. On the spot of the spring, a chemical factory has been constructed as a disguise, with the majority of laborers under Foundation and/or Russian control. The liquid emitted from the spring has been chemically identified as simple mineral water in 1902, but has the unusual property of ""health"".",https://scp-wiki.wdfiles.com/local--files/scp-006/SCP006_stream-new.jpg,,,,,,,
7,Euclid,2," SCP-007 is located within a cavity in the abdomen of Subject. Subject is a Caucasian male, physically approximately 25 years of age (subject claims to be 28) and 176 cm in height. Most of Subject's abdomen (muscles, skin, and organs) is absent, though Subject does not appear to suffer because of this. Instead of normal flesh, a sphere composed of soil and water is present, though it does not actually come into contact with Subject's body at any point. The sphere appears to be, in most respects, a miniature near-duplicate of the Earth, approximately 60 cm in diameter, although continental alignment is not consistent with that of any alignment known in Earth's history. The sphere has its own weather patterns and negligible gravitational pull, in addition to microscopic organisms somewhat resembling those of modern-day Earth inhabiting it. Two intelligent species have been observed, though contact and communication with either has yet to be made. Technology levels of observed species must be checked at least once a week and, as of ¦¦/¦¦¦¦, are approximately equal to that of 15th-Century Earth.",,,,,,,,
8,Euclid,2," SCP-008 is a complex prion, samples of which are stored in each of the known G2 sites. Research into SCP-008 is highly classified and primarily aimed at preventing research which may lead to the synthesis of SCP-008 in the distant future. Traits of the SCP-008 prion include:",https://scp-wiki.wdfiles.com/local--files/scp-008/scp-008.png,,,,,,,
9,Euclid,2," SCP-009 is approximately ¦¦¦ liters of a substance which superficially resembles distilled water (H 2 O), except with a distinct bright red hue. This red hue is discernible in all phases, and serves as the most expedient method of identifying contaminated matter before its anomalous properties manifest. In contrast to mundane water, SCP-009 assumes a liquid phase at temperatures between -100°C and 0°C, and a solid state above those temperatures. At temperatures below -100°C, SCP-009 vaporizes into a gaseous phase similar to steam.",https://scp-wiki.wdfiles.com/local--files/scp-009/009.png,,,,,,,
10,Safe,1," SCP-010 consists of a series of six (6) apparently identical cast iron collars with numbered metal tags and one (1) remote control. The control is SCP-010-1. The collars are SCP-010-2 through 010-7. The collars contain intricate electronic components and are powered by small (5 mm diameter, 2 mm thick) 100 V batteries. These batteries are rechargeable.",,,,,,,,
11,Safe,1," SCP-011 is a Civil War memorial statue located in Woodstock, Vermont. The statue is the image of a young male soldier holding a musket at his side, and is carved out of granite quarried within the area. Occasionally, SCP-011 has been observed lifting its musket to the sky to fire at birds which attempt to land or defecate on it. Reports detail that its movements produce soft grinding sounds but do not cause it any structural failure. Oddly, the gunfire is very similar to that of a standard firearm, despite observations that the item only loads granite bullets and granite powder into the musket (which is also unharmed by the firing). In spite of its efforts, some fecal matter does manage to strike SCP-011, and it has reportedly become distressed when it has had a large amount of feces on it, on some rare occasions even firing at humans.",https://scp-wiki.wdfiles.com/local--files/scp-011/SCP011.jpg,,,,,,,
12,Euclid,2," SCP-012 was retrieved by Archaeologist K.M. Sandoval during the excavation of a northern Italian tomb destroyed in a recent storm. The object, a piece of handwritten musical score entitled ""On Mount Golgotha"", part of a larger set of sheet music, appears to be incomplete. The red/black ink, first thought to be some form of berry or natural dye ink, was later found to be human blood from multiple subjects. The first personnel to locate the sheet (Site 19 Special Salvage) had two (2) members descend into insanity, attempting to use their own blood to finish the composition, ultimately resulting in massive blood loss and internal trauma.",,,,,,,,
13,Safe,1, SCP-013 is the collective designation of 242 cigarettes which display similar anomalies. The most common external detail between instances is the presence of the words “Blue Lady” hand-written on each cigarette in blue ink.,https://scp-wiki.wdfiles.com/local--resized-images/scp-013/SCP-013updated/medium.jpg,,,,,,,
14,Safe,1," SCP-014 is a Caucasian male, appearing to be approximately 30 years of age, with black hair, brown eyes, and a somewhat round face. Records indicate his name to be Robert Chetford, confined in 1915 to the Norwich Asylum in Connecticut for delusional insanity, claiming that he had been cursed to live forever, and was slowly turning into concrete in consequence. The asylum closed in 1937, and the patients were transferred to various other facilities. SCP-014 came to Foundation attention in 19¦¦, from rumours of a patient who seemed to be entirely immobile and showed no signs of aging. Further investigation determined that acquisition was warranted.",https://scp-wiki.wdfiles.com/local--files/scp-014/3241597616_e47326fc1a-new.jpg,,,,,,,
15,Euclid,2," SCP-015 is a mass of pipes, vents, boilers and other various plumbing apparatus completely filling a warehouse in ¦¦¦¦¦¦¦. The pipes appear to grow when not under observation, attempting to connect to nearby structures via sewer systems and underground plumbing. SCP-015 contains, at current estimate, over 190 kilometers (120 miles) of pipes, ranging in diameter from 2.5 cm to over 1 m. Some pipes appear new, while others are rusted and leaking. Pipes have been reported as being made of bone, wood, steel, pressed ash, human flesh, glass, and granite. No pipes composed of lead, PVC plastic, copper, or any other traditional material for the production of pipes have been found.",https://scp-wiki.wdfiles.com/local--resized-images/scp-015/SCP-015New/medium.jpg,,,,,,,
16,Keter,3," SCP-016 is a blood-borne pathogen recovered from a mine worker in ¦¦¦¦¦ who injured himself while working in a deep coal seam. Said wound became contaminated with coal dust from the mine, possibly infecting the worker with dormant spores. Over the next several days, SCP-016 proceeded to infect the remaining employees at the mining camp, as well as the CDC crisis team dispatched to deal with the epidemic. Foundation personnel then took over the investigation and terminated all affected personnel. Patient Zero was brought into captivity, and the mine shaft was collapsed by an explosive device.",,,,,,,,
17,Keter,3," SCP-017 is a humanoid figure approximately 80 centimeters in height, anatomically similar to a small child, but with no discernible identifying features. SCP-017 seems to be composed of a shadowy, smoke-like shroud. No attempt to find any object beneath the shroud has been successful, but the possibility has not been ruled out.",https://scp-wiki.wdfiles.com/local--files/scp-017/scp017InCaptivity.jpg,,,,,,,
18,Euclid,2," SCP-018 has the appearance of a Super Ball made by the Wham-O company in 1969. It is six (6) centimeters in diameter and coloured red. Found when the ¦¦¦¦¦¦¦¦¦¦ company was hired to clean out a warehouse that had Wham-O merchandise in it, SCP-018 was noted to be able to bounce with extreme height. At first thought to be a pleasant child's toy, SCP-018 was able to bounce with over two hundred percent (200%) efficiency (that is, if dropped one (1) meter, it would bounce two (2), then four (4), then eight (8), then sixteen (16)). The ball soon became a dangerous projectile, reaching speeds estimated at over 100 km/h and damaging property and injuring five (5) in the city of ¦¦¦¦¦¦¦¦¦¦¦¦¦. It came to a rest after several days in the nearby lake of ¦¦¦¦¦¦¦¦, and was retrieved by SCP personnel. Due to the speed of the object, and the total surprise by its victims, no cover-up story was required or initiated.",https://scp-wiki.wdfiles.com/local--files/scp-018/superball.jpg,,,,,,,
19,Keter,3," SCP-019 appears to be a very large ceramic vase, 1.8 m in diameter at the mouth and 2.4 m high. Style and decoration indicate it was created in Classical Greece, although conclusive dating is impossible, as the surface is entirely unbreakable by any known means. If a successful method is discovered, SCP-019 is to be destroyed with prejudice.",https://scp-wiki.wdfiles.com/local--files/scp-019/scp-019-new.jpg,,,,,,,
20,Keter,3," SCP-020 is a fast-spreading fungal organism that is capable of affecting the senses and behavior of living creatures, including humans. Samples of SCP-020 exhibit an unknown effect that renders them effectively invisible to direct observation, even when under a microscope. SCP-020 is only visible to humans when viewed through photographic or video surveillance.",https://scp-wiki.wdfiles.com/local--files/scp-020/scp020.jpg,,,,,,,
21,Safe,1," SCP-021 takes the form of a large and elaborate tattoo of a serpentine dragon in the oriental style, covering approximately 0.8 square meters of skin. This tattoo is fully animate within the confines of its host's skin and behaves largely as a normal animal would, albeit in only two dimensions. The tattoo's movement causes constant pain to its host, comparable and similar in character to simultaneous tattooing and tattoo removal on a large scale. The organism tends to spend most of its time on and near the torso. SCP-021 displays no intelligence beyond a basic pattern of feeding and locomotion, although actually measuring the intelligence of a two-dimensional life-form has proven impossible thus far.",https://scp-wiki.wdfiles.com/local--files/scp-021/021-new.jpg,,,,,,,
22,Euclid,2," SCP-022 is a morgue in the basement of [REDACTED] Hospital in Great Britain. Until 198¦, there were no reported anomalous occurrences within the morgue. Reports of strange activity were first received in November of 198¦. The area was soon quarantined by the Foundation, with an official story being released that the entire building had been condemned. The reason for the sudden manifestation of its strange properties remains under investigation.",https://scp-wiki.wdfiles.com/local--files/scp-022/SCP-022.png,,,,,,,
